"","id","group","allele_count","anc_prop"
"303","BOS-Z","ANF",24996,0.24996
"304","BOS-Z","FTS",25149,0.25149
"305","BOS-Z","non-transloc",49855,0.49855
"306","BOY-Z","ANF",24745,0.24745
"307","BOY-Z","FTS",24842,0.24842
"308","BOY-Z","non-transloc",50413,0.50413
"309","BP-Z","non-transloc",100000,1
"310","BP-ZC","non-transloc",100000,1
"311","BPA-Z","ANF",24908,0.24908
"312","BPA-Z","FTS",50000,0.5
"313","BPA-Z","non-transloc",25092,0.25092
"314","BPO-Z","ANF",12665,0.12665
"315","BPO-Z","non-transloc",87335,0.87335
"316","BPY-Z","ANF",12271,0.12271
"317","BPY-Z","FTS",25369,0.25369
"318","BPY-Z","non-transloc",62360,0.6236
"319","BSP-Z","ANF",87482,0.87482
"320","BSP-Z","non-transloc",12518,0.12518
"321","BSY-Z","ANF",50000,0.5
"322","BSY-Z","CBJTC",24921,0.24921
"323","BSY-Z","non-transloc",25079,0.25079
"324","BW-OWW","FTS",100000,1
"325","BWG-Z","ANF",24989,0.24989
"326","BWG-Z","FTS",25015,0.25015
"327","BWG-Z","non-transloc",49996,0.49996
"328","BWH-Z","ANF",62442,0.62442
"329","BWH-Z","non-transloc",37558,0.37558
"330","BWO-Z","ANF",56494,0.56494
"331","BWO-Z","non-transloc",43506,0.43506
"332","BWY-Z","ANF",21839,0.21839
"333","BWY-Z","FTS",24996,0.24996
"334","BWY-Z","non-transloc",53165,0.53165
"335","BY-Z","non-transloc",100000,1
"336","BYG-Z","ANF",12490,0.1249
"337","BYG-Z","non-transloc",87510,0.8751
"338","BYK-Z","ANF",25012,0.25012
"339","BYK-Z","FTS",50000,0.5
"340","BYK-Z","non-transloc",24988,0.24988
"341","BYS-Z","ANF",12392,0.12392
"342","BYS-Z","FTS",50000,0.5
"343","BYS-Z","non-transloc",37608,0.37608
"344","BYZ-","non-transloc",100000,1
"345","BZ-A","non-transloc",100000,1
"346","BZ-B","non-transloc",100000,1
"347","BZ-HOW","non-transloc",100000,1
"348","BZ-HYB","ONF",100000,1
"349","BZ-O","non-transloc",100000,1
"350","BZ-OKW","WSF-CITRUS",100000,1
"351","BZ-OYK","WSF-CITRUS",100000,1
"352","BZ-Y","non-transloc",100000,1
"353","CA-Z","non-transloc",100000,1
"354","CA-ZC","non-transloc",100000,1
"355","CA-ZY","non-transloc",100000,1
"356","CAP-Z","ANF",30742,0.30742
"357","CAP-Z","FTS",12569,0.12569
"358","CAP-Z","non-transloc",56689,0.56689
"359","CAZ-","non-transloc",100000,1
"360","CG-ZB","non-transloc",100000,1
"361","CG-ZG","non-transloc",100000,1
"362","CL-ZB","non-transloc",100000,1
"363","CL-ZW","non-transloc",100000,1
"364","CLZ-","non-transloc",100000,1
"365","CO-Z","ANF",50000,0.5
"366","CO-Z","non-transloc",50000,0.5
"367","COB-Z","ANF",62384,0.62384
"368","COB-Z","non-transloc",37616,0.37616
"369","CP-CZ","ANF",56460,0.5646
"370","CP-CZ","non-transloc",43540,0.4354
"371","CP-WZ","non-transloc",100000,1
"372","CP-ZL","non-transloc",100000,1
"373","CPZ-","non-transloc",100000,1
"374","CW-ZG","non-transloc",100000,1
"375","CWH-Z","ANF",12331,0.12331
"376","CWH-Z","FTS",50000,0.5
"377","CWH-Z","non-transloc",37669,0.37669
"378","CZ-A","non-transloc",100000,1
"379","CZ-C","non-transloc",100000,1
"380","CZ-L","non-transloc",100000,1
"381","FZ-FAF","FTS",100000,1
"382","FemaleID_1","non-transloc",100000,1
"383","FemaleID_2","non-transloc",100000,1
"384","FemaleID_3","non-transloc",100000,1
"385","FemaleID_4","non-transloc",100000,1
"386","FemaleID_5","non-transloc",100000,1
"387","G-PZ","ANF",50000,0.5
"388","G-PZ","non-transloc",50000,0.5
"389","G-Z","ANF",25234,0.25234
"390","G-Z","non-transloc",74766,0.74766
"391","GA-Z","non-transloc",100000,1
"392","GAB-ZG","ANF",100000,1
"393","GAP-Z","ANF",50000,0.5
"394","GAP-Z","non-transloc",50000,0.5
"395","GAP=Z","non-transloc",100000,1
"396","GAS-Z","ANF",25209,0.25209
"397","GAS-Z","non-transloc",74791,0.74791
"398","GB-Z","non-transloc",100000,1
"399","GB=Z","non-transloc",100000,1
"400","GBA-Z","non-transloc",100000,1
"401","GBK-PZ","ANF",100000,1
"402","GBP-Z","ANF",49827,0.49827
"403","GBP-Z","non-transloc",50173,0.50173
"404","GCL-Z","ANF",50000,0.5
"405","GCL-Z","non-transloc",50000,0.5
"406","GCP-Z","ANF",25125,0.25125
"407","GCP-Z","non-transloc",74875,0.74875
"408","GCW-Z","ANF",37392,0.37392
"409","GCW-Z","non-transloc",62608,0.62608
"410","GG-Z","non-transloc",100000,1
"411","GG-ZG","non-transloc",100000,1
"412","GG-ZP","non-transloc",100000,1
"413","GG-ZS","non-transloc",100000,1
"414","GGA-Z","ANF",50000,0.5
"415","GGA-Z","non-transloc",50000,0.5
"416","GGG-LZ","FTS",100000,1
"417","GGY-Z","FTS",50000,0.5
"418","GGY-Z","non-transloc",50000,0.5
"419","GGZ-","non-transloc",100000,1
"420","GH-Z","non-transloc",100000,1
"421","GHB-Z","ANF",12475,0.12475
"422","GHB-Z","non-transloc",87525,0.87525
"423","GHL-Z","ANF",100000,1
"424","GHO-Z","non-transloc",100000,1
"425","GKH-Z","ANF",37511,0.37511
"426","GKH-Z","FTB",25080,0.2508
"427","GKH-Z","non-transloc",37409,0.37409
"428","GKK-Z","ANF",37505,0.37505
"429","GKK-Z","non-transloc",62495,0.62495
"430","GKL-Z","ANF",37652,0.37652
"431","GKL-Z","non-transloc",62348,0.62348
"432","GKS-Z","ANF",75084,0.75084
