"","id","f_ped"
"1104","WRY-Z",0.005859375
"1105","WYA-Z",0.16796875
"1106","WBB-Z",0
"1107","WKO-Z",0
"1108","WYB-Z",0.0625
"1109","WBO-Z",0.0625
"1110","WWG-Z",0
"1111","WWA-Z",0.007171630859375
"1112","WKK-Z",0.007171630859375
"1113","WGG-Z",0.0634765625
"1114","WAY-Z",0
"1115","WGW-Z",0
"1116","WAG-Z",0.0009765625
"1117","WOA-Z",0.0009765625
"1118","WKA-Z",0.076904296875
"1119","WOB-Z",0.0205078125
"1120","WGK-Z",0.0078125
"1121","WAO-Z",0.0078125
"1122","WBK-Z",0.0521240234375
"1123","WBG-Z",0
"1124","WWY-Z",0
"1125","WOO-Z",0.05419921875
"1126","WWK-Z",0.01123046875
"1127","WOY-Z",0
"1128","WBW-Z",0
"1129","WGA-Z",0.0455322265625
"1130","WAW-Z",0.11395263671875
"1131","WYO-Z",0.11395263671875
"1132","WBA-Z",0.00390625
"1133","WYG-Z",0.031005859375
"1134","WKW-Z",0.00048828125
"1135","WKY-Z",0.0029296875
"1136","WRB-Z",0.043701171875
"1137","WRK-Z",0.020263671875
"1138","1154",0.0455322265625
"1139","WRG-Z",0.01025390625
"1140","WOR-Z",0.041259765625
"1141","1157",0.041259765625
"1142","WYR-Z",0.00830078125
"1143","BZ-HOW",0
"1144","Z-BBB",0.0078125
"1145","Z-BAO",0.00390625
"1146","Z-BYO",0.00390625
"1147","Z-BWG",0.00390625
"1148","Z-BAY",0
"1149","Z-BYG",0
"1150","Z-BWK",0.0009765625
"1151","Z-BGA",0.0009765625
"1152","Z-BWB",0.05419921875
"1153","Z-BOG",0.05419921875
"1154","Z-BBK",0.020263671875
"1155","Z-BOA",0.11395263671875
"1156","Z-BYY",0.11395263671875
"1157","Z-BOB",0.13427734375
"1158","Z-BKW",0
"1159","Z-BAG",0
"1160","Z-BOY",0.05419921875
"1161","Z-BGG",0.01220703125
"1162","Z-BAA",0.01220703125
"1163","Z-BKO",0.005859375
"1164","Z-BGY",0.005859375
"1165","Z-BYA",0.041259765625
"1166","Z-BBY",0.041259765625
"1167","Z-BKB",0
"1168","Z-BWW",0
"1169","Z-BKG",0.076904296875
"1170","Z-BOO",0
"1171","Z-BKY",0.0078125
"1172","Z-BBW",0.0078125
"1173","Z-BYK",0.0625
"1174","Z-BGB",0.0625
"1175","Z-BBO",0
"1176","Z-BAK",0.0455322265625
"1177","Z-BYB",0.007171630859375
"1178","Z-BGO",0
"1179","Z-BKK",0
"1180","Z-BWO",0
"1181","Z-BWA",0.031005859375
"1182","Z-BBG",0.031005859375
"1183","Z-BOK",0
"1184","BWY-Z",0
"1185","Z-BOW",0.017578125
"1186","Z-BAW",0.017578125
"1187","Z-BYW",0
"1188","Z-BAB",0
"1189","Z-BGK",0
"1190","Z-BGW",0.0185546875
"1191","Z-BOR",0.00048828125
"1192","Z-BRO",0
"1193","1210",0
"1194","1211",0.043701171875
"1195","1212",0.043701171875
"1196","1213",0.01123046875
"1197","1214",0
"1198","1215",0
"1199","Z-BYR",0.0521240234375
"1200","1217",0.001953125
"1201","Z-BGR",0.13427734375
"1202","Z-BRY",0.13427734375
"1203","FemaleID_1",0
"1204","FemaleID_2",0
"1205","FemaleID_4",0
"1206","FemaleID_3",0
"1207","MaleID_2",0
"1208","FemaleID_5",0
"1209","MaleID_3",0
"1210","MaleID_1",0
