"","founder_id","year","part_found_f_sum","group","pop_size","pfound_fsum_prop","pfound_fsum_scale","val_cumsum"
"248","ZG-AP",2012,0.08524,"non-transloc",100,0.0909517712334614,0.0008524,0.0050048
"249","ZG-AP",2011,0.0953,"non-transloc",110,0.0823055929802743,0.000866363636363636,0.00268227272727273
"250","ZY-SO",2015,0.09282,"non-transloc",107,0.0568784852012991,0.000867476635514019,0.00364794392523364
"251","ZG-YP",2022,0.14728,"non-transloc",167,0.0393086293224012,0.000881916167664671,0.00793736526946108
"252","ZL-SW",2021,0.1556,"non-transloc",172,0.0397340170171908,0.000904651162790697,0.00738872093023256
"253","ZY-GW",2019,0.13248,"non-transloc",146,0.0394838017464906,0.000907397260273973,0.00602260273972603
"254","ZL-SW",2018,0.12576,"non-transloc",137,0.038468597437874,0.000917956204379562,0.00451430656934306
"255","ZG-GWO",2021,0.16026,"ANF",172,0.0409239946476543,0.000931744186046512,0.00830691860465116
"256","ZY-WB",2013,0.09184,"non-transloc",98,0.0988036836216542,0.000937142857142857,0.00394183673469388
"257","ZG-AP",2013,0.0935,"non-transloc",98,0.100589551596523,0.000954081632653061,0.00488744897959184
"258","ZL-SW",2022,0.16154,"non-transloc",167,0.0431145843341981,0.000967305389221557,0.00886197604790419
"259","ZY-SO",2022,0.16408,"non-transloc",167,0.0437925033895953,0.00098251497005988,0.00983688622754491
"260","ZO-OL",2011,0.10876,"non-transloc",110,0.0939302863854631,0.000988727272727273,0.00360981818181818
"261","ZO-OA",2018,0.13636,"non-transloc",137,0.0417110205679746,0.000995328467153285,0.00547094890510949
"262","ZY-GW",2018,0.13748,"non-transloc",137,0.042053616219457,0.00100350364963504,0.00647036496350365
"263","ZG-GWO",2020,0.16026,"ANF",159,0.0462518831494918,0.00100792452830189,0.0076848427672956
"264","ZO-OA",2019,0.14968,"non-transloc",146,0.0446100199684082,0.00102520547945205,0.00698890410958904
"265","ZY-GW",2021,0.1811,"non-transloc",172,0.0462456971838899,0.00105290697674419,0.00929924418604651
"266","ZY-SO",2016,0.12398,"non-transloc",117,0.0589488298671536,0.00105965811965812,0.00430162393162393
"267","ZO-OL",2013,0.10916,"non-transloc",98,0.117436956708839,0.00111387755102041,0.00592142857142857
"268","ZY-WB",2014,0.1149,"non-transloc",102,0.0953368735479588,0.00112647058823529,0.0052871568627451
"269","ZG-GWO",2011,0.12466,"ANF",110,0.107662279338101,0.00113327272727273,0.00467081818181818
"270","ZO-OL",2009,0.09302,"non-transloc",82,0.133155830398809,0.00113439024390244,0.0045859756097561
"271","ZO-OA",2020,0.1804,"non-transloc",159,0.0520643936114334,0.00113459119496855,0.00875610062893082
"272","ZY-GW",2022,0.19286,"non-transloc",167,0.0514738067023241,0.0011548502994012,0.0109055688622754
"273","ZY-SO",2021,0.1991,"non-transloc",172,0.0508421773015597,0.00115755813953488,0.010404476744186
"274","ZG-AP",2014,0.11834,"non-transloc",102,0.0981911715897776,0.00116019607843137,0.00643049019607843
"275","ZO-OL",2012,0.11648,"non-transloc",100,0.124285104566795,0.0011648,0.0060134
"276","ZP-GA",2011,0.13006,"non-transloc",110,0.112325975057864,0.00118236363636364,0.00582863636363636
"277","ZG-WC",2008,0.09342,"non-transloc",79,0.207452478237698,0.00118253164556962,0.00239126582278481
"278","ZG-WC",2011,0.13314,"non-transloc",110,0.114986008912841,0.00121036363636364,0.007025
